date,1321_t_close_jpy,usd_jpy,1321_t_close_usd,check_jpy_from_usd,1321_t_volume
2025-10-27,52440.0,153.061005,342.608492,52440.0,313992
2025-10-28,52100.0,152.692001,341.209753,52100.0,296156
2025-10-29,53310.0,151.731003,351.345467,53310.0,582185
2025-10-30,53230.0,152.722,348.541795,53230.0,654080
2025-10-31,54390.0,153.899994,353.41132,54390.0,482557
2025-11-04,53540.0,154.203995,347.202419,53540.0,473463
2025-11-05,52130.0,153.557007,339.483043,52130.0,1077214
2025-11-06,52720.0,154.072998,342.175467,52720.0,222722
2025-11-07,52220.0,152.947998,341.423233,52220.0,294660
2025-11-10,52870.0,153.817001,343.720132,52870.0,229871
2025-11-11,52770.0,154.145996,342.337792,52770.0,233398
2025-11-12,53000.0,154.074997,343.988324,53000.0,148353
2025-11-13,53240.0,154.712997,344.121056,53240.0,156261
2025-11-14,52290.0,154.632996,338.155513,52290.0,325063
2025-11-17,52280.0,154.585007,338.1958,52280.0,140771
2025-11-18,50660.0,155.272995,326.264074,50660.0,510767
2025-11-19,50440.0,155.548004,324.272885,50440.0,353293
2025-11-20,51670.0,156.992004,329.125042,51670.0,647745
2025-11-21,50540.0,157.369003,321.156002,50540.0,454021
2025-11-25,50490.0,156.938995,321.717365,50490.0,282971
2025-11-26,51430.0,156.229996,329.194146,51430.0,245611
2025-11-27,52030.0,156.238998,333.015448,52030.0,113257
2025-11-28,52120.0,156.283997,333.495439,52120.0,148218
2025-12-01,51190.0,155.927994,328.292558,51190.0,248393
2025-12-02,51150.0,155.557007,328.818361,51150.0,136747
2025-12-03,51760.0,155.807007,332.205856,51760.0,205895
2025-12-04,52920.0,155.106995,341.18384,52920.0,275211
2025-12-05,52390.0,155.141998,337.690636,52390.0,137754
2025-12-08,52460.0,155.339996,337.710836,52460.0,119505
2025-12-09,52560.0,155.843994,337.26035,52560.0,102884
2025-12-10,52480.0,156.837997,334.612791,52480.0,156916
2025-12-11,52050.0,155.789993,334.103615,52050.0,185951
2025-12-12,52780.0,155.567001,339.275036,52780.0,425292
2025-12-15,52070.0,155.888,334.021861,52070.0,281266
2025-12-16,51310.0,155.014999,331.000227,51310.0,553274
2025-12-17,51410.0,154.778,332.153149,51410.0,197042
2025-12-18,50910.0,155.494995,327.406036,50910.0,309258
2025-12-19,51380.0,155.585999,330.235371,51380.0,185723
2025-12-22,52260.0,157.675995,331.439164,52260.0,353081
2025-12-23,52300.0,156.876999,333.382206,52300.0,134541
2025-12-24,52240.0,156.175995,334.494428,52240.0,200775
2025-12-26,52620.0,156.089996,337.113212,52620.0,184262
2025-12-29,52400.0,156.462997,334.903465,52400.0,147905
2025-12-30,52320.0,156.013,335.356668,52320.0,178805
2026-01-05,53890.0,156.988998,343.272462,53890.0,418162
2026-01-06,54520.0,156.626007,348.09034,54520.0,209926
2026-01-07,53950.0,156.679993,344.332413,53950.0,210222
2026-01-08,53100.0,156.731003,338.797041,53100.0,259640
2026-01-09,53940.0,156.880005,343.829668,53940.0,201208
2026-01-13,55640.0,157.985992,352.183122,55640.0,407336
2026-01-14,56490.0,159.179001,354.883494,56490.0,343986
2026-01-15,56230.0,158.401993,354.982908,56230.0,252361
2026-01-16,56060.0,158.595993,353.476774,56060.0,180184
2026-01-19,55690.0,157.535004,353.508736,55690.0,353694
2026-01-20,55070.0,158.177002,348.154279,55070.0,375689
2026-01-21,54800.0,158.162003,346.480186,54800.0,331932
2026-01-22,55770.0,158.455994,351.958918,55770.0,336504
2026-01-23,55960.0,158.501007,353.057694,55960.0,174865
2026-01-26,54980.0,155.166,354.3302,54980.0,364364
2026-01-27,55340.0,154.335999,358.568322,55340.0,314613
2026-01-28,55400.0,152.453003,363.390677,55400.0,317739
2026-01-29,55440.0,153.095993,362.125741,55440.0,222208
2026-01-30,55390.0,153.162003,361.643221,55390.0,277576
2026-02-02,54750.0,155.201996,352.766082,54750.0,537222
2026-02-03,56850.0,155.442993,365.728933,56850.0,521489
2026-02-04,56430.0,155.798996,362.197456,56430.0,308736
2026-02-05,56040.0,156.917007,357.13146,56040.0,329734
2026-02-06,56390.0,156.783997,359.666811,56390.0,533299
2026-02-09,58540.0,157.244003,372.287647,58540.0,606986
2026-02-10,59880.0,156.132004,383.521626,59880.0,405886
2026-02-12,59910.0,153.268997,390.881399,59910.0,275901
2026-02-13,59200.0,152.820999,387.381318,59200.0,494403
2026-02-16,59090.0,152.779007,386.767797,59090.0,174132
2026-02-17,58690.0,153.608994,382.073983,58690.0,256483
2026-02-18,59390.0,153.149002,387.792275,59390.0,282701
2026-02-19,59710.0,154.692993,385.990333,59710.0,200209
2026-02-20,59080.0,155.160004,380.76823,59080.0,288500
2026-02-24,59540.0,154.634995,385.035743,59540.0,315035
2026-02-25,60900.0,155.880005,390.68513,60900.0,358806
2026-02-26,61100.0,156.199997,391.16518,61100.0,450508
2026-02-27,61120.0,155.858994,392.149331,61120.0,261909
2026-03-02,60290.0,156.632996,384.912513,60290.0,718868
2026-03-03,58450.0,157.257004,371.684558,58450.0,739002
2026-03-04,56380.0,157.772995,357.348861,56380.0,1280377
2026-03-05,57440.0,156.983002,365.899488,57440.0,758972
2026-03-06,57830.0,157.533997,367.095365,57830.0,420249
2026-03-09,54800.0,158.427002,345.900631,54800.0,1415378
2026-03-10,56350.0,157.848007,356.988986,56350.0,697514
2026-03-11,57050.0,158.113998,360.815618,57050.0,386961
2026-03-12,56590.0,159.074997,355.744153,56590.0,312697
2026-03-13,55850.0,159.205994,350.803376,55850.0,398879
2026-03-16,55760.0,159.567993,349.443512,55760.0,324823
2026-03-17,55800.0,159.104996,350.711804,55800.0,230702
2026-03-18,57450.0,158.889008,361.573157,57450.0,288279
2026-03-19,55420.0,159.794998,346.819366,55420.0,530579
2026-03-23,53530.0,159.233994,336.171937,53530.0,948110
2026-03-24,54350.0,158.479004,342.947638,54350.0,491265
2026-03-25,55860.0,158.718002,351.944954,55860.0,427728
2026-03-26,55650.0,159.384003,349.156748,55650.0,323226
2026-03-27,55480.0,159.703995,347.392688,55480.0,367928
2026-03-30,54310.0,160.233994,338.941811,54310.0,474071
2026-03-31,53480.0,159.841003,334.582484,53480.0,487471
2026-04-01,56240.0,158.578995,354.649745,56240.0,524731
2026-04-02,54940.0,158.688004,346.213947,54940.0,493324
2026-04-03,55590.0,159.490997,348.546319,55590.0,242974
2026-04-06,55900.0,159.779999,349.856055,55900.0,257261
2026-04-07,55950.0,159.682999,350.381697,55950.0,322820
2026-04-08,58960.0,158.716003,371.481128,58960.0,703472
2026-04-09,58500.0,158.641998,368.75481,58500.0,457246
2026-04-10,59520.0,159.112,374.076124,59520.0,487962
2026-04-13,59160.0,159.679993,370.490999,59160.0,301493
2026-04-14,60480.0,159.214005,379.866081,60480.0,394311
2026-04-15,60860.0,158.792007,383.268661,60860.0,284953
2026-04-16,62390.0,158.809006,392.861851,62390.0,494500
2026-04-17,61360.0,159.195007,385.439223,61360.0,272088
2026-04-20,61530.0,159.160995,386.589691,61530.0,253158
2026-04-21,62070.0,158.843994,390.760761,62070.0,230340
2026-04-22,62320.0,159.373001,391.032355,62320.0,283209
2026-04-23,61870.0,159.488007,387.928856,61870.0,591905
2026-04-24,62390.0,159.332993,391.569875,62390.0,234459
